&
B_ C.23_C 58.6425 167.799
2.45 4.87917 0.000174034 3.37446
2.55 1.38741 0.00324273 4.0362
2.65 0.253581 1.03471 4.76433
2.75 0.461568 1.10324 5.60991
2.9 0.559901 2.08011 14.1671
3.1 0 5.17542 18.9261
3.3 0.0856408 17.4303 24.9243
3.5 -0.084976 35.5883 32.3615
3.7 -0.13389 53.5468 41.7081
3.95 0.0398523 79.0885 83.1697
4.25 0 106.623 115.343
4.55 0 124.748 144.12
4.85 0.246457 105.195 176.157
&
C.31n_ N.ar2_h 1788.19 2679.33
1.55 15.9902 0 0.283473
1.65 15.9902 0 0.800769
1.75 15.9902 0 1.5678
1.85 15.9902 0 2.5855
1.95 1.78446 0.00704367 3.84816
2.05 2.45826 0.00343958 5.30732
2.15 2.08725 0.0290675 6.98211
2.25 2.62058 0.00275166 8.85494
2.35 3.30341 0.0020742 10.9432
2.45 2.7638 0.0687469 13.3137
2.55 2.48337 0.335446 15.9245
2.65 1.17192 0.522707 18.7973
2.75 1.01888 0.764799 22.1335
2.9 0.721679 5.79359 55.8953
3.1 0.581733 13.1667 74.6714
3.3 0.0880776 49.9239 98.3372
3.5 0 95.4012 127.68
3.7 0.00139116 138.257 164.556
3.95 0 305.489 328.141
4.25 0 378.361 455.08
4.55 0.0545807 333.089 568.614
4.85 0.0623614 466.973 695.016
&
C.31n_ N.pl31_nq 1335.04 1834.01
1.55 14.8607 0 0.194041
1.65 14.8607 0 0.548131
1.75 14.8607 0 1.07316
1.85 14.8607 0 1.76978
1.95 14.8607 0 2.63408
2.05 3.04866 0.00119332 3.63288
2.15 5.73297 2.26783e-05 4.77928
2.25 3.58008 0.000268671 6.06123
2.35 1.47271 0.0715771 7.49063
2.45 2.6991 0.00638366 9.11325
2.55 0.801455 1.26804 10.9004
2.65 0.0781159 2.25042 12.8668
2.75 0.714447 2.61375 15.1504
2.9 0.247706 11.4247 38.2604
3.1 0.245012 26.6625 51.1128
3.3 0 59.0094 67.312
3.5 -0.125069 99.0411 87.3974
3.7 -0.128771 128.119 112.639
3.95 0 218.18 224.613
4.25 0.00585169 245.681 311.503
4.55 0.0909207 251.872 389.218
4.85 0.133914 288.837 475.74
&
C.31n_ N.pl31_r 1420.04 2483.67
1.55 15.7417 0 0.262773
1.65 15.7417 0 0.742293
1.75 15.7417 0 1.45331
1.85 15.7417 0 2.39669
1.95 2.87987 0.000500522 3.56715
2.05 15.7417 0 4.91975
2.15 1.58266 0.175115 6.47224
2.25 0.706419 0.0036715 8.2083
2.35 2.16281 0.0335772 10.144
2.45 1.74742 0.0497061 12.3414
2.55 2.53605 0.00275738 14.7616
2.65 0.662751 1.07449 17.4246
2.75 1.4496 0.424908 20.5172
2.9 0.488797 11.2615 51.8134
3.1 0.0528399 31.8621 69.2185
3.3 0 70.8522 91.156
3.5 0 115.514 118.356
3.7 0 152.189 152.539
3.95 0 231.585 304.178
4.25 0 253.827 421.847
4.55 0.0703968 268.056 527.09
4.85 0.133128 283.131 644.262
&
C.31n_ N.pl32_N 6918.54 13753.2
1.55 20.6057 0 1.45505
1.65 20.6057 0 4.11036
1.75 20.6057 0 8.04758
1.85 20.6057 0 13.2715
1.95 0.348639 0.251367 19.7529
2.05 1.31613 0.00238663 27.2428
2.15 1.52533 0.25261 35.8396
2.25 1.27762 0.5 45.453
2.35 1.50028 0.756442 56.172
2.45 2.15152 0.0441697 68.34
2.55 1.04491 1.11641 81.7417
2.65 1.17243 1.02481 96.488
2.75 0.891885 4.64366 113.613
2.9 0.718497 14.1642 286.914
3.1 0.689191 26.3772 383.294
3.3 0.476217 87.4376 504.772
3.5 0.272798 235.97 655.392
3.7 0.0966099 456.861 844.679
3.95 0.0689901 998.44 1684.37
4.25 0.122168 1326.11 2335.96
4.55 0.151393 1592.47 2918.74
4.85 0.114964 2172.12 3567.57
&
C.31n_ N.pl32_r 545.712 1095.48
1.55 13.3554 0 0.115908
1.65 13.3554 0 0.32741
1.75 13.3554 0 0.64102
1.85 13.3554 0 1.05712
1.95 13.3554 0 1.57338
2.05 13.3554 0 2.16997
2.15 13.3554 0 2.85473
2.25 1.71107 0.000223314 3.62046
2.35 13.3554 0 4.47425
2.45 3.97193 0.000446628 5.44347
2.55 1.74942 0.00119332 6.51094
2.65 0.317301 0.103061 7.68552
2.75 2.5813 0.00486446 9.04956
2.9 0.736873 1.27867 22.8535
3.1 0.245518 4.27528 30.5303
3.3 0.15169 9.25592 40.2064
3.5 0.079614 21.2775 52.2037
3.7 0 37.3081 67.2809
3.95 0 95.9875 134.164
4.25 0 104.201 186.065
4.55 0 117.631 232.485
4.85 0 154.387 284.166
&
C.31n_ N.pl33 227.473 457.561
1.55 10.9189 0 0.0484183
1.65 10.9189 0 0.136759
1.75 10.9189 0 0.267748
1.85 10.9189 0 0.441545
1.95 10.9189 0 0.657176
2.05 10.9189 0 0.906363
2.15 0.93954 0.00119332 1.19237
2.25 10.9189 0 1.5122
2.35 10.9189 0 1.86882
2.45 10.9189 0 2.27364
2.55 10.9189 0 2.71951
2.65 10.9189 0 3.21011
2.75 1.09394 0.00119332 3.77984
2.9 3.26709 0.00103359 9.54548
3.1 0.670109 0.762801 12.752
3.3 0.375738 2.21237 16.7935
3.5 0 9.13967 21.8045
3.7 0.210679 11.6621 28.102
3.95 0.191562 28.5957 56.038
4.25 0.152249 27.8957 77.716
4.55 0.264688 49.323 97.1047
4.85 0.0235574 97.8783 118.691
&
C.31n_ O.21_O 9819.47 13725.4
1.55 20.5892 0 1.45211
1.65 20.5892 0 4.10205
1.75 20.5892 0 8.03131
1.85 20.5892 0 13.2447
1.95 1.10963 0.063204 19.7129
2.05 0.0960845 0.352832 27.1878
2.15 1.06352 1.41968 35.7672
2.25 2.27695 0.0795256 45.3611
2.35 0.924443 1.41491 56.0585
2.45 1.25513 1.86071 68.2019
2.55 1.11036 2.37964 81.5765
2.65 1.14043 6.80384 96.293
2.75 0.352963 12.6967 113.383
2.9 0.407183 62.4847 286.334
3.1 0 245.824 382.519
3.3 -0.0931988 552.958 503.752
3.5 -0.231509 824.452 654.067
3.7 -0.223336 1053.92 842.972
3.95 0 1638.06 1680.96
4.25 0.0396011 1665.94 2331.24
4.55 0.138517 1674.91 2912.84
4.85 0.135701 2073.85 3560.36
&
C.31n_ O.21_nq 1249.34 1728.52
1.55 14.707 0 0.182881
1.65 14.707 0 0.516605
1.75 14.707 0 1.01144
1.85 14.707 0 1.66799
1.95 14.707 0 2.48258
2.05 5.19689 2.26783e-05 3.42393
2.15 14.707 0 4.50439
2.25 1.08817 0.5 5.71261
2.35 0.0797141 0.917963 7.05979
2.45 0 1.60535 8.58909
2.55 0.875639 0.594158 10.2734
2.65 0.605367 1.96235 12.1268
2.75 0.17563 4.79144 14.279
2.9 0.051903 16.1586 36.0598
3.1 0.0250578 29.1792 48.1729
3.3 -0.278467 83.8114 63.4405
3.5 -0.471073 153.381 82.3706
3.7 -0.223183 132.795 106.161
3.95 0 188.796 211.694
4.25 0.0315173 187.883 293.587
4.55 0.0758644 198.955 366.831
4.85 0.128052 248.014 448.377
&
C.31n_ O.31_st 2183.47 3025.16
1.55 16.2075 0 0.32006
1.65 16.2075 0 0.904123
1.75 16.2075 0 1.77015
1.85 16.2075 0 2.91921
1.95 4.61213 0.00119332 4.34485
2.05 4.48268 0.000403339 5.99234
2.15 4.90744 0.000687243 7.88329
2.25 0.957039 0.0864928 9.99785
2.35 0.495913 0.767575 12.3556
2.45 0.818284 2.27311 15.0321
2.55 1.40611 0.368788 17.9799
2.65 0.937097 1.61977 21.2235
2.75 0.617439 5.69764 24.9903
2.9 0.329518 20.5153 63.1097
3.1 0 49.8155 84.3093
3.3 -0.152331 129.761 111.03
3.5 -0.193345 202.706 144.16
3.7 -0.0839571 229.435 185.796
3.95 0 361.546 370.494
4.25 0.0838135 348.829 513.817
4.55 0.161556 377.587 642.005
4.85 0.130356 452.457 784.722
&
C.31n_ O.31_y 1793.07 2072.92
1.55 15.2257 0 0.219317
1.65 15.2257 0 0.619534
1.75 15.2257 0 1.21296
1.85 15.2257 0 2.00033
1.95 4.35158 8.04959e-05 2.97722
2.05 15.2257 0 4.10613
2.15 15.2257 0 5.40186
2.25 0.828578 0.568893 6.85081
2.35 2.92218 0.0233363 8.46641
2.45 0.704065 0.747374 10.3004
2.55 1.48882 0.252209 12.3203
2.65 1.67124 0.733966 14.5429
2.75 1.50121 1.14395 17.124
2.9 0.823608 8.61627 43.2445
3.1 0 49.022 57.7711
3.3 -0.18948 107.437 76.0806
3.5 -0.297011 175.152 98.7825
3.7 -0.204077 191.539 127.312
3.95 -0.137656 309.539 253.873
4.25 0.0191662 291.347 352.082
4.55 0.0755395 311.112 439.92
4.85 0.146817 345.838 537.714
&
C.31n_ O.co21 3080.62 5932.71
1.55 18.0758 0 0.627668
1.65 18.0758 0 1.77309
1.75 18.0758 0 3.47148
1.85 18.0758 0 5.72492
1.95 18.0758 0 8.52077
2.05 0.873684 0.253282 11.7517
2.15 2.98715 0.00384862 15.4601
2.25 1.89928 0.00973272 19.607
2.35 1.51496 0.0971233 24.2309
2.45 1.14355 0.422484 29.4798
2.55 1.49522 0.647598 35.2608
2.65 0.625431 2.10797 41.6219
2.75 0.382896 5.46166 49.009
2.9 0.423658 28.9496 123.766
3.1 0.133081 73.6754 165.341
3.3 0 177.966 217.743
3.5 0 274.558 282.716
3.7 0 296.948 364.368
3.95 0.0321846 449.809 726.584
4.25 0.100421 530.243 1007.66
4.55 0.161846 592.039 1259.05
4.85 0.234207 647.424 1538.94
&
C.31n_ S.31 560.937 749.72
1.55 12.2903 0 0.0793276
1.65 12.2903 0 0.224075
1.75 12.2903 0 0.438702
1.85 12.2903 0 0.723471
1.95 -1.1465 3.81649 1.07678
2.05 0.905629 0.0641519 1.48508
2.15 0 1.73059 1.95371
2.25 0.934588 0.317226 2.47776
2.35 0.472605 0.302569 3.06208
2.45 1.00268 0.0667679 3.72539
2.55 1.87545 0.0523866 4.45594
2.65 1.27823 0.138474 5.2598
2.75 1.28486 0.761746 6.19331
2.9 1.19703 2.26088 15.6404
3.1 0.314735 6.98011 20.8943
3.3 0.179389 13.4273 27.5163
3.5 -0.19572 43.4507 35.727
3.7 -0.331644 69.5785 46.0455
3.95 0 88.2623 91.819
4.25 0.0371325 88.1432 127.339
4.55 0.0586651 104.352 159.107
4.85 0 137.232 194.477
&
C.31n_ S.32 1085.07 1084.55
1.55 13.3134 0 0.114752
1.65 13.3134 0 0.324145
1.75 13.3134 0 0.634626
1.85 13.3134 0 1.04658
1.95 13.3134 0 1.55768
2.05 13.3134 0 2.14833
2.15 3.56585 0.00119332 2.82626
2.25 13.3134 0 3.58435
2.35 13.3134 0 4.42963
2.45 1.19436 0.333333 5.38918
2.55 2.4656 0.00119332 6.446
2.65 5.19291 0.000174034 7.60887
2.75 1.4421 0.504608 8.9593
2.9 1.03639 2.09019 22.6255
3.1 0.70637 4.85096 30.2258
3.3 0.399787 14.6465 39.8054
3.5 0 40.7991 51.683
3.7 -0.209875 90.9581 66.6098
3.95 -0.370815 230.952 132.826
4.25 -0.250826 240.32 184.209
4.55 0 222.473 230.166
4.85 0 237.142 281.332
&
C.31n_ c.33 2088.97 2597.86
1.55 15.8861 0 0.274854
1.65 15.8861 0 0.77642
1.75 15.8861 0 1.52013
1.85 15.8861 0 2.50688
1.95 15.8861 0 3.73116
2.05 15.8861 0 5.14595
2.15 15.8861 0 6.76981
2.25 2.48902 0.00119332 8.58569
2.35 15.8861 0 10.6104
2.45 0 0.25 12.9089
2.55 0.661538 0.166667 15.4403
2.65 15.8861 0 18.2258
2.75 4.07371 0.000223314 21.4605
2.9 1.84743 1.01231 54.1957
3.1 1.00737 3.15131 72.4009
3.3 0.898253 11.0109 95.3471
3.5 0.790131 18.3822 123.798
3.7 0.488239 45.9875 159.553
3.95 0.193737 156.919 318.163
4.25 0.0500425 318.417 441.242
4.55 -0.0929617 605.034 551.324
4.85 -0.219277 928.64 673.883
&
C.31p_ C.23_C 3041.83 4857.79
1.55 17.6289 0 0.513946
1.65 17.6289 0 1.45183
1.75 17.6289 0 2.8425
1.85 17.6289 0 4.68766
1.95 17.6289 0 6.97695
2.05 17.6289 0 9.62249
2.15 17.6289 0 12.659
2.25 2.1549 0.00372671 16.0545
2.35 17.6289 0 19.8406
2.45 2.9213 0.00390074 24.1385
2.55 2.31301 0.0176727 28.8721
2.65 1.90391 0.00851436 34.0807
2.75 2.14628 0.0380852 40.1294
2.9 1.38487 0.985565 101.341
3.1 1.11181 7.75012 135.384
3.3 0.884868 16.1387 178.291
3.5 0.441019 65.1797 231.492
3.7 0.108045 156.553 298.35
3.95 0 482.407 594.939
4.25 0 728.051 825.087
4.55 0 817.285 1030.93
4.85 0.0692081 767.404 1260.11
&
C.31p_ C.23_de 799.749 959.668
1.55 13.0002 0 0.101539
1.65 13.0002 0 0.286821
1.75 13.0002 0 0.561552
1.85 13.0002 0 0.926066
1.95 13.0002 0 1.37832
2.05 13.0002 0 1.90095
2.15 13.0002 0 2.50082
2.25 13.0002 0 3.17162
2.35 13.0002 0 3.91957
2.45 1.82227 0.0227273 4.76863
2.55 2.32214 0.375157 5.70376
2.65 1.3806 0.200359 6.73273
2.75 13.0002 0 7.92766
2.9 0.297127 1.38085 20.0203
3.1 0.406528 4.88309 26.7454
3.3 0.159644 18.9076 35.2219
3.5 -0.0287608 47.0662 45.7318
3.7 -0.176708 80.566 58.9398
3.95 -0.302025 158.973 117.532
4.25 0 156.24 162.998
4.55 0 187.822 203.663
4.85 0.015874 143.312 248.937
&
C.31p_ C.23_nq 505.932 594.418
1.55 11.5771 0 0.0628972
1.65 11.5771 0 0.177661
1.75 11.5771 0 0.347828
1.85 11.5771 0 0.573608
1.95 11.5771 0 0.853735
2.05 11.5771 0 1.17745
2.15 11.5771 0 1.54901
2.25 11.5771 0 1.9645
2.35 11.5771 0 2.42778
2.45 11.5771 0 2.95369
2.55 11.5771 0 3.53291
2.65 11.5771 0 4.17025
2.75 11.5771 0 4.91039
2.9 1.75274 0.301405 12.4005
3.1 0.814868 3.13034 16.5661
3.3 0.458655 8.74694 21.8164
3.5 0.273894 21.5396 28.3263
3.7 -0.220492 45.5133 36.5073
3.95 0 70.8454 72.799
4.25 -0.15053 122.001 100.961
4.55 0 118.583 126.149
4.85 0 115.271 154.191
&
C.31p_ C.23_r 235.571 418.078
1.55 10.5735 0 0.0442411
1.65 10.5735 0 0.124959
1.75 10.5735 0 0.244645
1.85 10.5735 0 0.403445
1.95 10.5735 0 0.600469
2.05 10.5735 0 0.828153
2.15 10.5735 0 1.08948
2.25 10.5735 0 1.38172
2.35 10.5735 0 1.70756
2.45 10.5735 0 2.07745
2.55 10.5735 0 2.48484
2.65 10.5735 0 2.93311
2.75 10.5735 0 3.45368
2.9 0.216179 1.07599 8.7218
3.1 0.665705 1.4676 11.6516
3.3 0.641543 1.71842 15.3444
3.5 0.587672 5.99126 19.923
3.7 0 22.736 25.6771
3.95 0 44.7248 51.2024
4.25 0 62.7089 71.0098
4.55 0 53.9183 88.7255
4.85 0.176322 41.2295 108.449
&
C.31p_ C.31 3935.17 5663.44
1.55 18.0172 0 0.59918
1.65 18.0172 0 1.69261
1.75 18.0172 0 3.31392
1.85 18.0172 0 5.46508
1.95 18.0172 0 8.13404
2.05 0.846811 0.000504759 11.2183
2.15 0.527547 0.0893283 14.7584
2.25 1.72116 0.340909 18.7171
2.35 2.10063 0.00647648 23.1311
2.45 2.75984 0.00611107 28.1418
2.55 2.64995 0.00325043 33.6604
2.65 0.898117 1.00415 39.7328
2.75 1.14303 0.5483 46.7846
2.9 0.74073 7.73819 118.148
3.1 0.591268 18.8486 157.837
3.3 0.193543 79.3169 207.86
3.5 0 236.019 269.884
3.7 -0.149045 403.736 347.83
3.95 -0.160302 814.201 693.607
4.25 0 811.619 961.924
4.55 0.0879864 797.981 1201.91
4.85 0.223173 763.712 1469.09
&
C.31p_ C.32 4620.8 7282.1
1.55 18.8024 0 0.77043
1.65 18.8024 0 2.17638
1.75 18.8024 0 4.26107
1.85 18.8024 0 7.02706
1.95 18.8024 0 10.4588
2.05 5.02686 0.000174034 14.4247
2.15 2.98882 0.00163389 18.9765
2.25 2.50281 0.251399 24.0666
2.35 1.30276 0.0117264 29.7422
2.45 1.0295 0.066623 36.185
2.55 0.886531 1.09739 43.2809
2.65 1.28588 0.0128373 51.0888
2.75 1.81995 0.141314 60.1562
2.9 0.854706 5.66428 151.917
3.1 0.788372 13.8107 202.948
3.3 0.422516 46.8063 267.269
3.5 0.0735379 158.837 347.02
3.7 0 347.906 447.244
3.95 0 796.396 891.847
4.25 0 914.064 1236.85
4.55 0.0509086 1049.5 1545.42
4.85 0.0465154 1286.23 1888.97
&
C.31p_ C.32_g_CA 711.616 930.997
1.55 12.8637 0 0.098506
1.65 12.8637 0 0.278252
1.75 12.8637 0 0.544775
1.85 12.8637 0 0.898399
1.95 12.8637 0 1.33714
2.05 12.8637 0 1.84416
2.15 12.8637 0 2.42611
2.25 12.8637 0 3.07686
2.35 12.8637 0 3.80247
2.45 3.0992 0.000174034 4.62616
2.55 12.8637 0 5.53336
2.65 12.8637 0 6.53158
2.75 3.97276 0.00145985 7.69081
2.9 1.37849 0.457219 19.4221
3.1 1.0128 2.45744 25.9463
3.3 0 11.2408 34.1696
3.5 0 43.3457 44.3655
3.7 -0.312709 78.1707 57.1789
3.95 -0.135217 130.529 114.02
4.25 -0.0763642 170.677 158.128
4.55 0.0279611 159.918 197.578
4.85 0.277332 114.819 241.5
&
C.31p_ C.33 803.841 1408.03
1.55 14.0293 0 0.148975
1.65 14.0293 0 0.420822
1.75 14.0293 0 0.823908
1.85 14.0293 0 1.35873
1.95 14.0293 0 2.02228
2.05 14.0293 0 2.78909
2.15 1.95037 0.000156691 3.66922
2.25 14.0293 0 4.65342
2.35 14.0293 0 5.75081
2.45 14.0293 0 6.99656
2.55 14.0293 0 8.3686
2.65 1.70887 0.00177324 9.8783
2.75 3.50801 0.00145985 11.6315
2.9 1.74323 0.0700661 29.3739
3.1 1.29545 0.03872 39.241
3.3 1.5147 1.30633 51.6778
3.5 0.662234 8.61109 67.098
3.7 0.487897 14.2736 86.477
3.95 0.289966 65.7023 172.443
4.25 0.055874 160.355 239.152
4.55 0 259.811 298.816
4.85 0 293.669 365.242
&
C.31p_ C.33_CA 2579.69 4480.13
1.55 17.389 0 0.473991
1.65 17.389 0 1.33896
1.75 17.389 0 2.62152
1.85 17.389 0 4.32322
1.95 17.389 0 6.43453
2.05 17.389 0 8.8744
2.15 1.97535 0.000156691 11.6748
2.25 17.389 0 14.8064
2.35 17.389 0 18.2981
2.45 17.389 0 22.2619
2.55 2.81196 0.00248447 26.6275
2.65 1.94114 0.267685 31.4311
2.75 1.5051 1.00049 37.0095
2.9 1.29956 0.722861 93.4628
3.1 0.950102 3.29391 124.859
3.3 0.663772 10.5095 164.43
3.5 0.254729 39.3119 213.495
3.7 0.25404 78.0683 275.155
3.95 0.080099 285.642 548.686
4.25 0 486.434 760.941
4.55 0 722.268 950.783
4.85 0 952.172 1162.14
&
C.31p_ C.ar2 6154.64 6335.65
1.55 18.3563 0 0.670299
1.65 18.3563 0 1.89352
1.75 18.3563 0 3.70726
1.85 18.3563 0 6.11376
1.95 18.3563 0 9.09951
2.05 18.3563 0 12.5499
2.15 1.52078 0.0193875 16.5102
2.25 2.39308 0.000313381 20.9387
2.35 0.686754 0.503798 25.8766
2.45 4.88507 0.000313381 31.482
2.55 1.12998 0.772104 37.6557
2.65 1.96223 0.17777 44.4489
2.75 1.15119 1.39152 52.3377
2.9 0.966458 10.048 132.172
3.1 0.674859 26.3686 176.571
3.3 0.11056 139.366 232.532
3.5 -0.190932 382.104 301.918
3.7 -0.353392 711.578 389.116
3.95 -0.251311 1184.97 775.934
4.25 -0.114798 1222.71 1076.1
4.55 0.025535 1192.65 1344.57
4.85 0.0964953 1281.99 1643.46
&
C.31p_ C.ar2_h 372.049 914.532
1.55 12.8056 0 0.0967641
1.65 12.8056 0 0.273332
1.75 12.8056 0 0.53514
1.85 12.8056 0 0.88251
1.95 12.8056 0 1.31349
2.05 12.8056 0 1.81155
2.15 0.340499 0.000626763 2.3832
2.25 12.8056 0 3.02245
2.35 3.15327 0.000156691 3.73522
2.45 0.436661 0.5 4.54434
2.55 4.35081 0.000156691 5.43549
2.65 0.896238 0.291823 6.41606
2.75 1.41787 0.218435 7.55479
2.9 0.44593 3.59747 19.0786
3.1 0.269259 4.28045 25.4875
3.3 0.0834994 9.6562 33.5653
3.5 0 22.5726 43.5809
3.7 0 37.0538 56.1677
3.95 0 66.4608 112.004
4.25 0 82.5 155.332
4.55 0.0838731 72.6106 194.084
4.85 0.143084 72.3063 237.229
&
C.31p_ C.ar3 1527.08 1870.22
1.55 14.8429 0 0.197873
1.65 14.8429 0 0.558954
1.75 14.8429 0 1.09435
1.85 14.8429 0 1.80473
1.95 14.8429 0 2.68609
2.05 14.8429 0 3.70461
2.15 14.8429 0 4.87364
2.25 2.32076 0.000156691 6.18091
2.35 1.45881 0.000174034 7.63853
2.45 1.64426 0.000174034 9.29319
2.55 2.61579 0.000313381 11.1156
2.65 1.89155 0.000522102 13.1209
2.75 1.6143 0.178118 15.4496
2.9 0.688907 1.72346 39.0159
3.1 1.15832 5.23025 52.122
3.3 0.476051 21.5404 68.6411
3.5 0 78.8712 89.1231
3.7 -0.068855 144.783 114.863
3.95 -0.0811128 255.546 229.048
4.25 0 283.996 317.654
4.55 0 337.147 396.903
4.85 0 398.063 485.134
&
C.31p_ C.ar3_y_CZ 699.186 662.557
1.55 12.0851 0 0.0701061
1.65 12.0851 0 0.198025
1.75 12.0851 0 0.387699
1.85 12.0851 0 0.639361
1.95 12.0851 0 0.951598
2.05 12.0851 0 1.31243
2.15 12.0851 0 1.72657
2.25 12.0851 0 2.1897
2.35 12.0851 0 2.70608
2.45 12.0851 0 3.29227
2.55 1.2723 0.0192308 3.93789
2.65 3.0011 0.0909091 4.64829
2.75 1.07043 0.00729001 5.47327
2.9 1.3407 0.507 13.822
3.1 0.243683 2.97103 18.4651
3.3 0.218371 15.6568 24.3173
3.5 0 39.1019 31.5733
3.7 -0.0500289 54.6251 40.6922
3.95 -0.0969227 123.236 81.144
4.25 -0.152484 155.254 112.534
4.55 -0.0232099 156.303 140.609
4.85 0 151.414 171.867
&
C.31p_ N.41 197.035 341.973
1.55 10.0664 0 0.0361895
1.65 10.0664 0 0.102214
1.75 10.0664 0 0.200112
1.85 10.0664 0 0.330005
1.95 10.0664 0 0.491164
2.05 10.0664 0 0.677402
2.15 0 0.5 0.891161
2.25 10.0664 0 1.1302
2.35 10.0664 0 1.39672
2.45 10.0664 0 1.69928
2.55 1.69395 0.016129 2.03251
2.65 1.18364 0.096129 2.39918
2.75 0.973633 0.466477 2.82499
2.9 0.654754 0.919388 7.13412
3.1 0.0923493 7.85106 9.53059
3.3 0 10.8514 12.5511
3.5 -0.267913 23.5257 16.2963
3.7 0.00841297 16.8723 21.0029
3.95 0.0732719 28.1305 41.8818
4.25 0.147165 32.1921 58.0835
4.55 0.139342 31.3974 72.5743
4.85 0.0885256 44.2164 88.7074
&
C.31p_ N.ar2 224.251 222.527
1.55 8.87774 0 0.0235526
1.65 8.87774 0 0.0665156
1.75 8.87774 0 0.13022
1.85 8.87774 0 0.214743
1.95 8.87774 0 0.319612
2.05 8.87774 0 0.4408
2.15 8.87774 0 0.579896
2.25 0 0.000174034 0.735441
2.35 8.87774 0 0.908875
2.45 8.87774 0 1.10575
2.55 8.87774 0 1.32259
2.65 1.3812 0.0418407 1.56119
2.75 2.61792 0.00619813 1.83827
2.9 0.894829 1.06088 4.64229
3.1 0.14074 1.40836 6.20172
3.3 0 7.24833 8.16723
3.5 -0.0301383 12.8983 10.6043
3.7 -0.217028 30.0296 13.6669
3.95 -0.160549 40.3949 27.2532
4.25 0 48.4018 37.7959
4.55 0.08679 41.8647 47.2253
4.85 0.278764 40.8963 57.7234
&
C.31p_ N.ar2_h 363.264 877.967
1.55 12.7046 0 0.0928956
1.65 12.7046 0 0.262403
1.75 12.7046 0 0.513744
1.85 12.7046 0 0.847226
1.95 2.28318 0.000156691 1.26098
2.05 12.7046 0 1.73912
2.15 0 1 2.28791
2.25 12.7046 0 2.9016
2.35 12.7046 0 3.58587
2.45 1.09929 0.126742 4.36265
2.55 12.7046 0 5.21817
2.65 0.618587 0.504602 6.15953
2.75 1.00503 0.377877 7.25273
2.9 0.0151342 3.42793 18.3158
3.1 0.178618 5.44199 24.4684
3.3 0 13.8957 32.2232
3.5 0 30.6041 41.8384
3.7 0 32.0836 53.922
3.95 0 61.9534 107.525
4.25 0 60.6271 149.121
4.55 0.106763 72.0187 186.324
4.85 0.106234 81.2023 227.744
&
C.31p_ N.pl31_nq 505.39 600.97
1.55 11.6793 0 0.0635904
1.65 11.6793 0 0.179619
1.75 11.6793 0 0.351662
1.85 11.6793 0 0.579931
1.95 11.6793 0 0.863145
2.05 0.174316 1 1.19043
2.15 11.6793 0 1.56608
2.25 11.6793 0 1.98616
2.35 1.16472 0.2 2.45454
2.45 3.16692 0.000174034 2.98625
2.55 1.6818 0.101539 3.57185
2.65 1.86228 0.13244 4.21622
2.75 0.352464 1.4111 4.96452
2.9 0.312183 3.6961 12.5372
3.1 0 14.9185 16.7487
3.3 -0.267472 33.0938 22.0569
3.5 -0.376048 50.9514 28.6385
3.7 -0.328609 64.6383 36.9097
3.95 -0.124715 83.3776 73.6014
4.25 0.0519516 82.2883 102.074
4.55 0.159374 86.8671 127.539
4.85 0.267305 82.7137 155.891
&
C.31p_ N.pl31_r 452.254 813.852
1.55 12.4821 0 0.0861125
1.65 12.4821 0 0.243242
1.75 12.4821 0 0.476228
1.85 12.4821 0 0.785357
1.95 12.4821 0 1.16889
2.05 12.4821 0 1.61212
2.15 12.4821 0 2.12084
2.25 12.4821 0 2.68971
2.35 2.68807 0.00290698 3.32401
2.45 0 1 4.04406
2.55 0.994886 0.03349 4.83711
2.65 1.49646 0.0367104 5.70973
2.75 0 2.0008 6.7231
2.9 0.405514 3.87126 16.9783
3.1 0.328318 7.97595 22.6816
3.3 0 26.6935 29.8701
3.5 -0.165873 45.7805 38.7831
3.7 -0.0827542 54.2967 49.9843
3.95 0 71.2947 99.6733
4.25 0.100545 71.5368 138.231
4.55 0.232019 85.702 172.718
4.85 0.205672 82.0286 211.112
&
C.31p_ N.pl32_N 2480.72 4506.67
1.55 17.4334 0 0.476799
1.65 17.4334 0 1.34689
1.75 17.4334 0 2.63705
1.85 17.4334 0 4.34883
1.95 3.49956 0.000174034 6.47265
2.05 17.4334 0 8.92697
2.15 2.47794 0.00124224 11.744
2.25 17.4334 0 14.8941
2.35 3.04263 0.00175747 18.4065
2.45 2.17061 0.0202782 22.3937
2.55 4.77879 0.000313381 26.7852
2.65 3.97323 0.00191619 31.6173
2.75 1.20563 0.639259 37.2288
2.9 1.35969 1.78311 94.0164
3.1 0.634242 12.8711 125.598
3.3 0.341288 39.4537 165.404
3.5 0.199097 79.2111 214.759
3.7 0.101801 155.678 276.785
3.95 0.13027 315.454 551.936
4.25 0.0892766 430.342 765.449
4.55 0.101042 601.333 956.415
4.85 0.0438895 843.924 1169.02
&
C.31p_ N.pl32_r 202.566 358.967
1.55 10.1937 0 0.0379874
1.65 10.1937 0 0.107293
1.75 10.1937 0 0.210057
1.85 10.1937 0 0.346405
1.95 10.1937 0 0.515572
2.05 10.1937 0 0.711065
2.15 10.1937 0 0.935447
2.25 10.1937 0 1.18636
2.35 10.1937 0 1.46613
2.45 10.1937 0 1.78373
2.55 10.1937 0 2.13352
2.65 0 1.00016 2.51841
2.75 2.77595 0.000330725 2.96538
2.9 0.54616 1.00115 7.48866
