&
B_ C.23_C 58.6425 167.799
1.85 8.49667 0 0.0117009
1.95 8.49667 0 0.0248658
2.05 8.49667 0 0.0444413
2.15 8.49667 0 0.0753305
2.25 8.49667 0 0.11764
2.35 8.49667 0 0.176807
2.45 8.49667 0 0.235776
2.55 8.49667 0 0.321053
2.65 8.49667 0 0.440919
2.75 8.49667 0 0.577722
2.9 1.91775 0.25 1.70272
3.1 0.309294 0.666667 2.73444
3.3 0 1.91667 4.27158
3.5 0 5.30882 6.52731
3.7 -0.182869 11.5588 9.62686
3.95 0 21.9055 23.101
4.25 -0.0928632 39.4632 35.9631
4.55 -0.0793733 50.7093 46.8395
4.85 0 45.1801 62.8279
&
B_ C.32 119.37 251.541
1.55 9.20076 0 0.000722416
1.65 9.20076 0 0.00229248
1.75 9.20076 0 0.0066874
1.85 9.20076 0 0.0150423
1.95 9.20076 0 0.0319698
2.05 9.20076 0 0.0571402
2.15 9.20076 0 0.0968579
2.25 9.20076 0 0.15126
2.35 9.20076 0 0.227337
2.45 9.20076 0 0.303161
2.55 9.20076 0 0.41281
2.65 9.20076 0 0.566935
2.75 9.20076 0 0.742839
2.9 1.96238 0.30754 2.18937
3.1 0.524326 1.33333 3.51597
3.3 0.955985 0.333333 5.49243
3.5 0.336508 0.966667 8.39288
3.7 0.242061 2.17157 12.3783
3.95 0 12.4265 29.7035
4.25 0 23.8858 46.2418
4.55 0.0756445 35.8219 60.2267
4.85 0.107718 42.123 80.7847
&
B_ C.32_g_CA 17.137 32.1588
1.55 3.35355 0 0.00010108
1.65 3.35355 0 0.000301809
1.75 3.35355 0 0.000863688
1.85 3.35355 0 0.00193183
1.95 3.35355 0 0.00409597
2.05 3.35355 0 0.00731394
2.15 3.35355 0 0.0123917
2.25 3.35355 0 0.0193468
2.35 3.35355 0 0.0290731
2.45 3.35355 0 0.038767
2.55 3.35355 0 0.0527853
2.65 3.35355 0 0.0724898
2.75 3.35355 0 0.0949786
2.9 3.35355 0 0.279914
3.1 -0.384564 0.666667 0.449516
3.3 -0.627304 1.33333 0.702201
3.5 0 1 1.07302
3.7 0 1 1.58254
3.95 0.690951 0.362745 3.79753
4.25 0.145877 1.99216 5.91189
4.55 0 5.14622 7.69982
4.85 0 5.6359 10.3281
&
B_ C.33 34.9053 48.6367
1.55 4.51139 0 0.000147749
1.65 4.51139 0 0.000451329
1.75 4.51139 0 0.00130111
1.85 4.51139 0 0.00291657
1.95 4.51139 0 0.00618959
2.05 4.51139 0 0.0110564
2.15 4.51139 0 0.018736
2.25 4.51139 0 0.0292549
2.35 4.51139 0 0.0439649
2.45 4.51139 0 0.0586258
2.55 4.51139 0 0.079827
2.65 4.51139 0 0.109628
2.75 4.51139 0 0.14364
2.9 0.77948 0.047619 0.423335
3.1 4.51139 0 0.67984
3.3 4.51139 0 1.062
3.5 4.51139 0 1.62281
3.7 4.51139 0 2.39342
3.95 0.309765 2.27941 5.74334
4.25 0.0399672 8.58775 8.94109
4.55 -0.0330685 13.0838 11.6451
4.85 0 10.9067 15.6202
&
B_ C.33_CA 57.1379 154.754
1.55 7.80692 0 0.000448296
1.65 7.80692 0 0.00141424
1.75 7.80692 0 0.0041181
1.85 7.80692 0 0.00925821
1.95 7.80692 0 0.0196724
2.05 7.80692 0 0.0351579
2.15 7.80692 0 0.0595932
2.25 7.80692 0 0.0930624
2.35 7.80692 0 0.139867
2.45 7.80692 0 0.186516
2.55 7.80692 0 0.253975
2.65 7.80692 0 0.348796
2.75 7.80692 0 0.457016
2.9 7.80692 0 1.34696
3.1 7.80692 0 2.16312
3.3 0.240848 0.333333 3.37908
3.5 0.815513 1.125 5.16351
3.7 1.08091 0.779412 7.61545
3.95 0 9.78506 18.2743
4.25 0.159594 11.6725 28.4491
4.55 0 18.5615 37.0529
4.85 0.346304 14.8811 49.7007
&
B_ C.ar2 89.3954 218.848
1.55 8.79437 0 0.000629824
1.65 8.79437 0 0.00199583
1.75 8.79437 0 0.00581955
1.85 8.79437 0 0.0130885
1.95 8.79437 0 0.027816
2.05 8.79437 0 0.049715
2.15 8.79437 0 0.0842707
2.25 8.79437 0 0.131602
2.35 8.79437 0 0.197792
2.45 8.79437 0 0.263761
2.55 8.79437 0 0.359159
2.65 8.79437 0 0.493252
2.75 0.567248 0.0294118 0.646294
2.9 8.79437 0 1.90482
3.1 0.85255 0.0294118 3.05901
3.3 1.38767 1.02941 4.77859
3.5 0 3.77941 7.30206
3.7 0 5.875 10.7695
3.95 0 17.2794 25.843
4.25 0 17.9371 40.2318
4.55 0 22.152 52.3991
4.85 0.160313 21.2843 70.2852
&
B_ C.ar2_h 56.5466 31.59
1.55 4.95794 0 9.94696e-05
1.65 4.95794 0 0.000296648
1.75 4.95794 0 0.00084859
1.85 4.95794 0 0.00189784
1.95 4.95794 0 0.00402371
2.05 4.95794 0 0.00718477
2.15 4.95794 0 0.0121728
2.25 4.95794 0 0.0190049
2.35 4.95794 0 0.0285591
2.45 4.95794 0 0.0380816
2.55 4.95794 0 0.051852
2.65 4.95794 0 0.0712079
2.75 4.95794 0 0.093299
2.9 4.95794 0 0.274964
3.1 4.95794 0 0.441567
3.3 2.40451 0.0588235 0.689782
3.5 0 1.05882 1.05404
3.7 0.0162153 1.52941 1.55455
3.95 -0.279372 9.65441 3.73036
4.25 0 10.9632 5.80734
4.55 -0.273054 16.0564 7.56365
4.85 -0.0333496 17.2255 10.1455
&
B_ C.ar3 27.4363 64.6018
1.55 5.30309 0 0.000192966
1.65 5.30309 0 0.000596196
1.75 5.30309 0 0.00172492
1.85 5.30309 0 0.00387065
1.95 5.30309 0 0.00821805
2.05 5.30309 0 0.0146824
2.15 5.30309 0 0.0248829
2.25 5.30309 0 0.0388546
2.35 5.30309 0 0.0583931
2.45 5.30309 0 0.0778665
2.55 5.30309 0 0.106027
2.65 5.30309 0 0.14561
2.75 5.30309 0 0.190787
2.9 5.30309 0 0.562292
3.1 5.30309 0 0.902996
3.3 5.30309 0 1.4106
3.5 0.246428 0.25 2.1555
3.7 0.994093 0.25 3.17906
3.95 1.26067 1.57108 7.6286
4.25 0.573771 5.70833 11.876
4.55 0 12.1642 15.4677
4.85 0.0809699 7.49265 20.7475
&
B_ C.ar3_y_CZ 4.19935 22.8862
1.55 2.42498 0 7.48187e-05
1.65 2.42498 0 0.00021767
1.75 2.42498 0 0.000617539
1.85 2.42498 0 0.0013777
1.95 2.42498 0 0.00291784
2.05 2.42498 0 0.00520795
2.15 2.42498 0 0.00882164
2.25 2.42498 0 0.0137713
2.35 2.42498 0 0.0206932
2.45 2.42498 0 0.027592
2.55 2.42498 0 0.0375683
2.65 2.42498 0 0.0515913
2.75 2.42498 0 0.0675958
2.9 2.42498 0 0.199208
3.1 2.42498 0 0.319908
3.3 2.42498 0 0.499734
3.5 2.42498 0 0.763629
3.7 0.87775 0.0294118 1.12624
3.95 0.575601 0.0294118 2.70257
4.25 2.42498 0 4.20728
4.55 0.231233 2.86111 5.47969
4.85 0.711767 1.27941 7.35015
&
B_ N.41 5.04339 11.8125
1.55 0.927576 0 4.34556e-05
1.65 0.927576 0 0.000117187
1.75 0.927576 0 0.000323576
1.85 0.927576 0 0.000715926
1.95 0.927576 0 0.00151086
2.05 0.927576 0 0.00269288
2.15 0.927576 0 0.00455805
2.25 0.927576 0 0.00711279
2.35 0.927576 0 0.0106854
2.45 0.927576 0 0.0142462
2.55 0.927576 0 0.0193954
2.65 0.927576 0 0.0266332
2.75 0.927576 0 0.0348938
2.9 0.927576 0 0.102824
3.1 0.927576 0 0.165122
3.3 0 0.5 0.257938
3.5 0 0.5 0.394145
3.7 0.756551 0.0294118 0.581304
3.95 0.346092 0.587348 1.39491
4.25 -0.051952 2.86548 2.17156
4.55 0.505198 0.561158 2.8283
4.85 0.927576 0 3.79372
&
B_ N.ar2 1.39216 7.6866
1.55 0.354926 0 3.17701e-05
1.65 0.354926 0 7.97483e-05
1.75 0.354926 0 0.000214049
1.85 0.354926 0 0.000469358
1.95 0.354926 0 0.000986631
2.05 0.354926 0 0.00175579
2.15 0.354926 0 0.00296949
2.25 0.354926 0 0.0046319
2.35 0.354926 0 0.00695669
2.45 0.354926 0 0.00927372
2.55 0.354926 0 0.0126244
2.65 0.354926 0 0.0173341
2.75 0.354926 0 0.0227094
2.9 0.354926 0 0.0669128
3.1 0.354926 0 0.107451
3.3 0.354926 0 0.167848
3.5 0.354926 0 0.25648
3.7 0.279694 0.0294118 0.378268
3.95 0.16774 0.333333 0.907694
4.25 0.354926 0 1.41307
4.55 0.354926 0 1.84042
4.85 0 1.02941 2.46864
&
B_ N.ar2_h 59.7794 30.327
1.55 5.08648 0 9.58924e-05
1.65 5.08648 0 0.000285187
1.75 5.08648 0 0.000815061
1.85 5.08648 0 0.00182236
1.95 5.08648 0 0.00386323
2.05 5.08648 0 0.0068979
2.15 5.08648 0 0.0116865
2.25 5.08648 0 0.0182454
2.35 5.08648 0 0.0274177
2.45 5.08648 0 0.0365594
2.55 5.08648 0 0.0497792
2.65 5.08648 0 0.0683613
2.75 5.08648 0 0.0895691
2.9 5.08648 0 0.26397
3.1 -0.224151 1.5 0.423912
3.3 0 1.02941 0.662204
3.5 -0.108363 4.28431 1.0119
3.7 0 4.18382 1.4924
3.95 -0.141765 7.98775 3.58122
4.25 0 14.2426 5.57515
4.55 -0.718137 15.076 7.26124
4.85 0 11.4755 9.73982
&
B_ N.pl31_nq 37.6426 20.7589
1.55 3.79537 0 6.87936e-05
1.65 3.79537 0 0.000198366
