&
B C.23_C 58.6425 167.799
1.85 8.21792 0 0.00925821
1.95 8.21792 0 0.0196724
2.05 8.21792 0 0.0351579
2.15 8.21792 0 0.0595932
2.25 8.21792 0 0.0930624
2.35 8.21792 0 0.139867
2.45 8.21792 0 0.186516
2.55 8.21792 0 0.253975
2.65 8.21792 0 0.348796
2.75 8.21792 0 0.457016
2.9 8.21792 0 1.34696
3.1 8.21792 0 2.16312
3.3 0.235301 0.333333 3.37908
3.5 0.889651 1.125 5.16351
3.7 0.804917 0.779412 7.61545
3.95 0 9.78506 18.2743
4.25 0.118372 11.6725 28.4491
4.55 0 18.5615 37.0529
4.85 0.355095 14.8811 49.7007
&
B C.ar2 89.3954 218.848
1.55 9.25736 0 0.000629824
1.65 9.25736 0 0.00199583
1.75 9.25736 0 0.00581955
1.85 9.25736 0 0.0130885
1.95 9.25736 0 0.027816
2.05 9.25736 0 0.049715
2.15 9.25736 0 0.0842707
2.25 9.25736 0 0.131602
2.35 9.25736 0 0.197792
2.45 9.25736 0 0.263761
2.55 9.25736 0 0.359159
2.65 9.25736 0 0.493252
2.75 0 0.0294118 0.646294
2.9 9.25736 0 1.90482
3.1 0.320529 0.0294118 3.05901
3.3 0.877545 1.02941 4.77859
3.5 0 3.77941 7.30206
3.7 0 5.875 10.7695
3.95 0 17.2794 25.843
4.25 0 17.9371 40.2318
4.55 0 22.152 52.3991
4.85 0.160248 21.2843 70.2852
&
B C.ar2_h 56.5466 31.59
1.55 5.20289 0 9.94696e-05
1.65 5.20289 0 0.000296648
1.75 5.20289 0 0.00084859
1.85 5.20289 0 0.00189784
1.95 5.20289 0 0.00402371
2.05 5.20289 0 0.00718477
2.15 5.20289 0 0.0121728
2.25 5.20289 0 0.0190049
2.35 5.20289 0 0.0285591
2.45 5.20289 0 0.0380816
2.55 5.20289 0 0.051852
2.65 5.20289 0 0.0712079
2.75 5.20289 0 0.093299
2.9 5.20289 0 0.274964
3.1 5.20289 0 0.441567
3.3 2.09001 0.0588235 0.689782
3.5 0 1.05882 1.05404
3.7 0.0162153 1.52941 1.55455
3.95 -0.397851 9.65441 3.73036
4.25 0 10.9632 5.80734
4.55 -0.203593 16.0564 7.56365
4.85 -0.159609 17.2255 10.1455
&
B C.ar3 27.4363 64.6018
1.55 5.6006 0 0.000192966
1.65 5.6006 0 0.000596196
1.75 5.6006 0 0.00172492
1.85 5.6006 0 0.00387065
1.95 5.6006 0 0.00821805
2.05 5.6006 0 0.0146824
2.15 5.6006 0 0.0248829
2.25 5.6006 0 0.0388546
2.35 5.6006 0 0.0583931
2.45 5.6006 0 0.0778665
2.55 5.6006 0 0.106027
2.65 5.6006 0 0.14561
2.75 5.6006 0 0.190787
2.9 5.6006 0 0.562292
3.1 5.6006 0 0.902996
3.3 5.6006 0 1.4106
3.5 0.115186 0.25 2.1555
3.7 0.784774 0.25 3.17906
3.95 0.962648 1.57108 7.6286
4.25 0.366711 5.70833 11.876
4.55 0 12.1642 15.4677
4.85 0.11076 7.49265 20.7475
&
B C.ar3_y_CZ 4.19935 22.8862
1.55 2.56394 0 7.48187e-05
1.65 2.56394 0 0.00021767
1.75 2.56394 0 0.000617539
1.85 2.56394 0 0.0013777
1.95 2.56394 0 0.00291784
2.05 2.56394 0 0.00520795
2.15 2.56394 0 0.00882164
2.25 2.56394 0 0.0137713
2.35 2.56394 0 0.0206932
2.45 2.56394 0 0.027592
2.55 2.56394 0 0.0375683
2.65 2.56394 0 0.0515913
2.75 2.56394 0 0.0675958
2.9 2.56394 0 0.199208
3.1 2.56394 0 0.319908
3.3 2.56394 0 0.499734
3.5 2.56394 0 0.763629
3.7 0 0.0294118 1.12624
3.95 0.136059 0.0294118 2.70257
4.25 2.56394 0 4.20728
4.55 0.209197 2.86111 5.47969
4.85 0.544192 1.27941 7.35015
&
B N.41 5.04339 11.8125
1.55 0.973895 0 4.34556e-05
1.65 0.973895 0 0.000117187
1.75 0.973895 0 0.000323576
1.85 0.973895 0 0.000715926
1.95 0.973895 0 0.00151086
2.05 0.973895 0 0.00269288
2.15 0.973895 0 0.00455805
2.25 0.973895 0 0.00711279
2.35 0.973895 0 0.0106854
2.45 0.973895 0 0.0142462
2.55 0.973895 0 0.0193954
2.65 0.973895 0 0.0266332
2.75 0.973895 0 0.0348938
2.9 0.973895 0 0.102824
3.1 0.973895 0 0.165122
3.3 -0.143057 0.5 0.257938
3.5 -0.0457522 0.5 0.394145
3.7 0.830147 0.0294118 0.581304
3.95 0.185546 0.587348 1.39491
4.25 -0.181393 2.86548 2.17156
4.55 0.475512 0.561158 2.8283
4.85 0.973895 0 3.79372
&
B N.ar2 1.39216 7.6866
1.55 0.37442 0 3.17701e-05
1.65 0.37442 0 7.97483e-05
1.75 0.37442 0 0.000214049
1.85 0.37442 0 0.000469358
1.95 0.37442 0 0.000986631
2.05 0.37442 0 0.00175579
2.15 0.37442 0 0.00296949
2.25 0.37442 0 0.0046319
2.35 0.37442 0 0.00695669
2.45 0.37442 0 0.00927372
2.55 0.37442 0 0.0126244
2.65 0.37442 0 0.0173341
2.75 0.37442 0 0.0227094
2.9 0.37442 0 0.0669128
3.1 0.37442 0 0.107451
3.3 0.37442 0 0.167848
3.5 0.37442 0 0.25648
3.7 0.331336 0.0294118 0.378268
3.95 0.220048 0.333333 0.907694
4.25 0.37442 0 1.41307
4.55 0.37442 0 1.84042
4.85 0 1.02941 2.46864
&
B N.ar2_h 59.7794 30.327
1.55 5.36883 0 9.58924e-05
1.65 5.36883 0 0.000285187
1.75 5.36883 0 0.000815061
1.85 5.36883 0 0.00182236
1.95 5.36883 0 0.00386323
2.05 5.36883 0 0.0068979
2.15 5.36883 0 0.0116865
2.25 5.36883 0 0.0182454
2.35 5.36883 0 0.0274177
2.45 5.36883 0 0.0365594
2.55 5.36883 0 0.0497792
2.65 5.36883 0 0.0683613
2.75 5.36883 0 0.0895691
2.9 5.36883 0 0.26397
3.1 0 1.5 0.423912
3.3 0 1.02941 0.662204
3.5 -0.700415 4.28431 1.0119
3.7 0 4.18382 1.4924
3.95 -0.387896 7.98775 3.58122
4.25 -0.23365 14.2426 5.57515
4.55 -0.706439 15.076 7.26124
4.85 -0.0814147 11.4755 9.73982
&
B N.pl31_nq 37.6426 20.7589
1.55 3.99518 0 6.87936e-05
1.65 3.99518 0 0.000198366
1.75 3.99518 0 0.000561066
1.85 3.99518 0 0.00125057
1.95 3.99518 0 0.00264755
2.05 3.99518 0 0.00472479
2.15 3.99518 0 0.00800257
2.25 3.99518 0 0.0124922
2.35 3.99518 0 0.0187706
2.45 3.99518 0 0.0250281
2.55 3.99518 0 0.0340771
2.65 3.99518 0 0.0467966
2.75 3.99518 0 0.0613134
2.9 1.22143 0.0294118 0.180692
3.1 -0.242165 1 0.290172
3.3 -0.6508 0.904412 0.453283
3.5 -0.607592 4.25 0.692648
3.7 -0.661852 4.375 1.02155
3.95 -0.174129 4.375 2.45135
4.25 -0.281151 5.77941 3.8162
4.55 -0.29723 8.65441 4.97034
4.85 -0.212497 8.275 6.66693
&
B N.pl31_r 21.2328 28.1123
1.55 3.14486 0 8.96201e-05
1.65 3.14486 0 0.000265091
1.75 3.14486 0 0.000756271
1.85 3.14486 0 0.00169001
1.95 3.14486 0 0.00358184
2.05 3.14486 0 0.00639491
2.15 3.14486 0 0.0108338
2.25 3.14486 0 0.0169137
2.35 3.14486 0 0.0254162
2.45 3.14486 0 0.0338903
2.55 3.14486 0 0.0461448
2.65 3.14486 0 0.0633698
2.75 3.14486 0 0.083029
2.9 3.14486 0 0.244694
3.1 1.10279 0.05 0.392956
3.3 0.73679 0.279412 0.613846
3.5 0.784898 0.35 0.938002
3.7 0 6.05098 1.38342
3.95 0 5.21765 3.31969
4.25 -0.158291 6.99657 5.16802
4.55 0.462435 1.66324 6.73098
4.85 1.41471 0.625 9.02856
&
B N.pl32_N 62.6162 155.671
1.55 8.23563 0 0.000450892
1.65 8.23563 0 0.00142255
1.75 8.23563 0 0.00414244
1.85 8.23563 0 0.009313
1.95 8.23563 0 0.0197889
2.05 8.23563 0 0.0353661
2.15 8.23563 0 0.0599461
2.25 8.23563 0 0.0936136
2.35 8.23563 0 0.140696
2.45 8.23563 0 0.187621
2.55 8.23563 0 0.255479
2.65 -0.770034 1 0.350862
2.75 8.23563 0 0.459723
2.9 0 1 1.35494
3.1 8.23563 0 2.17593
3.3 0 0.708333 3.3991
3.5 0.0965938 1.21667 5.19409
3.7 0 4.69234 7.66056
3.95 0 15.7779 18.3826
4.25 0.315097 8.82778 28.6176
4.55 0.322328 10.8 37.2724
4.85 0.122924 18.5931 49.9951
&
B N.pl32_r 1.42647 12.3996
1.55 1.06691 0 4.51182e-05
1.65 1.06691 0 0.000122514
1.75 1.06691 0 0.000339159
1.85 1.06691 0 0.000751008
1.95 1.06691 0 0.00158544
2.05 1.06691 0 0.0028262
2.15 1.06691 0 0.00478407
2.25 1.06691 0 0.00746577
2.35 1.06691 0 0.011216
2.45 1.06691 0 0.0149537
2.55 1.06691 0 0.0203588
2.65 1.06691 0 0.0279563
2.75 1.06691 0 0.0366274
2.9 1.06691 0 0.107933
3.1 1.06691 0 0.173328
3.3 1.06691 0 0.270756
3.5 1.06691 0 0.413732
3.7 0.911165 0.0294118 0.610192
3.95 0.289657 0.529412 1.46423
4.25 0.349237 0.779412 2.27947
4.55 0.893063 0.0294118 2.96885
4.85 0.869437 0.0588235 3.98225
&
B N.pl33 0.696078 5.17907
1.55 0.130076 0 2.46682e-05
1.65 0.130076 0 5.69949e-05
1.75 0.130076 0 0.000147484
1.85 0.130076 0 0.000319505
1.95 0.130076 0 0.000668033
2.05 0.130076 0 0.00118628
2.15 0.130076 0 0.00200404
2.25 0.130076 0 0.00312414
2.35 0.130076 0 0.00469053
2.45 0.130076 0 0.00625169
2.55 0.130076 0 0.0085093
2.65 0.130076 0 0.0116826
2.75 0.130076 0 0.0153044
2.9 0.130076 0 0.0450877
3.1 0.130076 0 0.0724016
3.3 0.130076 0 0.113096
3.5 0.130076 0 0.172814
3.7 0.130076 0 0.254872
3.95 0.130076 0 0.611588
4.25 0.121464 0.0294118 0.9521
4.55 0.00235447 0.333333 1.24004
4.85 0.0385529 0.333333 1.66332
&
B O.21_O 67.7272 155.356
1.55 8.22957 0 0.000450001
1.65 8.22957 0 0.0014197
1.75 8.22957 0 0.00413408
1.85 8.22957 0 0.00929419
1.95 8.22957 0 0.0197489
2.05 8.22957 0 0.0352946
2.15 8.22957 0 0.059825
2.25 8.22957 0 0.0934244
2.35 8.22957 0 0.140411
2.45 8.22957 0 0.187241
2.55 8.22957 0 0.254963
2.65 8.22957 0 0.350153
2.75 8.22957 0 0.458794
2.9 8.22957 0 1.3522
3.1 8.22957 0 2.17153
3.3 0.811492 0.362745 3.39223
3.5 0.197626 1.77206 5.18359
3.7 0 5.77731 7.64507
3.95 0 9.26118 18.3454
4.25 0.241947 8.57598 28.5597
4.55 0 18.6943 37.1971
4.85 0.168998 23.2836 49.8941
&
B O.21_nq 16.4137 19.5649
1.55 2.13876 0 6.5412e-05
1.65 2.13876 0 0.000187532
1.75 2.13876 0 0.000529371
1.85 2.13876 0 0.00117921
1.95 2.13876 0 0.00249584
2.05 2.13876 0 0.00445361
